	phenotype
1674	I
1675	I
1676	I
1677	I
1678	I
1679	I
1680	I
1681	I
1682	I
1683	I
1684	I
1685	I
1686	I
1687	I
1688	I
1689	I
1690	I
1691	Exh
1692	I
1693	I
1694	I
1695	I
1696	I
1697	I
1698	I
1699	I
1700	I
1701	I
1702	I
1703	I
1704	I
1705	I
1706	I
1707	I
1708	I
1709	I
1710	I
1711	I
1712	I
1713	I
1714	I
1715	I
1716	I
1717	I
1718	I
1719	I
1720	I
1721	I
1722	I
1723	I
1724	I
1725	I
1726	I
1727	I
1728	I
1729	I
1730	I
1731	I
1732	I
1733	I
1734	I
1735	I
1736	Exh
1737	I
1738	I
1739	I
1740	I
1741	Exh
1742	I
1743	I
1744	I
1745	I
1746	I
1747	I
1748	I
1749	I
1750	Exh
1751	I
1752	I
1753	I
1754	Exh
1755	I
1756	I
1757	I
1758	I
1759	I
1760	I
1761	I
1762	I
1763	I
1764	I
1765	I
1766	I
1767	I
1768	I
1769	I
1770	Exh
1771	I
1772	I
1773	I
1774	I
1775	I
1776	I
1777	I
1778	I
1779	I
1780	I
1781	I
1782	I
1783	I
1784	I
1785	I
1786	I
1787	I
1788	I
1789	I
1790	I
1791	I
1792	E
1793	I
1794	I
1795	I
1796	I
1797	P
1798	I
1799	I
1800	I
1801	I
1802	I
1803	E
1804	I
1805	I
1806	I
1807	I
1808	I
1809	I
1810	I
1811	I
1812	I
1813	I
1814	I
1815	Exh
1816	Exh
1817	I
1818	I
1819	I
1820	I
1821	I
1822	I
1823	I
1824	I
1825	I
1826	P
1827	P
1828	E
1829	I
1830	I
1831	I
1832	I
1833	Exh
1834	I
1835	I
1836	I
1837	I
1838	M
1839	M
1840	I
1841	I
1842	I
1843	P
1844	I
1845	E
1846	I
1847	I
1848	I
1849	I
1850	I
1851	I
1852	E
1853	I
1854	I
1855	I
1856	I
1857	I
1858	I
1859	I
1860	I
1861	I
1862	I
1863	I
1864	I
1865	I
1866	I
1867	I
1868	I
1869	I
1870	I
1871	P
1872	I
1873	I
1874	I
1875	I
1876	P
1877	E
1878	I
1879	I
1880	I
1881	E
1882	I
1883	I
1884	I
1885	I
1886	I
1887	E
1888	I
1889	I
1890	I
1891	I
1892	I
1893	I
1894	I
1895	I
1896	I
1897	I
1898	I
1899	I
1900	Exh
1901	I
1902	I
1903	I
1904	E
1905	I
1906	I
1907	I
1908	I
1909	I
1910	I
1911	I
1912	Exh
1913	I
1914	E
1915	I
1916	I
1917	I
1918	I
1919	Exh
1920	I
1921	I
1922	I
1923	I
1924	I
1925	I
1926	Exh
1927	I
1928	I
1929	I
1930	I
1931	I
1932	I
1933	E
1934	I
1935	I
1936	Exh
1937	I
1938	I
1939	E
1940	I
1941	I
1942	I
1943	I
1944	I
1945	E
1946	I
1947	I
1948	I
1949	I
1950	I
1951	E
1952	I
1953	M
1954	I
1955	I
1956	I
1957	I
1958	I
1959	I
1960	I
1961	I
1962	I
1963	I
1964	I
1965	I
1966	I
1967	I
1968	I
1969	I
1970	M
1971	I
1972	I
1973	I
1974	I
1975	I
1976	Exh
1977	E
1978	I
1979	E
1980	Exh
1981	I
1982	I
1983	I
1984	I
1985	I
1986	I
1987	I
1988	I
1989	I
1990	I
1991	I
1992	I
1993	I
1994	I
1995	I
1996	I
1997	I
1998	I
1999	I
2000	I
2001	I
2002	I
2003	I
2004	I
2005	I
2006	M
2007	I
2008	I
2009	I
2010	I
2011	I
2012	I
2013	Exh
2014	I
2015	E
2016	I
2017	I
2018	I
2019	I
2020	I
2021	I
2022	I
2023	M
2024	I
2025	E
2026	E
2027	E
2028	I
2029	M
2030	I
2031	I
2032	I
2033	I
2034	I
2035	I
2036	I
2037	I
2038	I
2039	I
2040	I
2041	E
2042	I
2043	I
2044	I
2045	I
2046	I
2047	I
2048	I
2049	I
2050	I
2051	Exh
2052	I
2053	E
2054	I
2055	P
2056	I
2057	I
2058	I
2059	I
2060	I
2061	I
2062	I
2063	I
2064	I
2065	I
2066	M
2067	I
2068	I
2069	I
2070	I
2071	P
2072	I
2073	I
2074	I
2075	I
2076	I
2077	I
2078	P
2079	I
2080	I
2081	I
2082	I
2083	I
2084	I
2085	I
2086	I
2087	I
2088	I
2089	I
2090	I
2091	I
2092	I
2093	I
2094	I
2095	I
2096	I
2097	I
2098	I
2099	Exh
2100	I
2101	I
2102	I
2103	I
2104	I
2105	Exh
2106	I
2107	P
2108	I
2109	I
2110	I
2111	I
2112	I
2113	I
2114	I
2115	I
2116	I
2117	I
2118	I
2119	I
2120	I
2121	I
2122	I
2123	I
2124	I
2125	I
2126	I
2127	I
2128	I
2129	I
2130	I
2131	I
2132	I
2133	P
2134	I
2135	I
2136	E
2137	I
2138	I
2139	I
2140	I
2141	I
2142	I
2143	I
2144	E
2145	I
2146	I
2147	Exh
2148	I
2149	I
2150	I
2151	P
2152	I
2153	I
2154	I
2155	I
2156	I
2157	I
2158	I
2159	I
2160	I
2161	I
2162	I
2163	P
2164	I
2165	Exh
2166	I
2167	I
2168	I
2169	I
2170	I
2171	I
2172	I
2173	I
2174	Exh
2175	I
2176	Exh
2177	I
2178	I
2179	Exh
2180	I
2181	I
2182	I
2183	I
2184	I
2185	I
2186	I
2187	I
2188	I
2189	I
2190	Exh
2191	I
2192	Exh
2193	I
2194	I
2195	I
2196	I
2197	I
2198	Exh
2199	I
2200	I
2201	I
2202	I
2203	I
2204	P
2205	I
2206	E
2207	I
2208	Exh
2209	I
2210	I
2211	Exh
2212	I
2213	I
2214	I
2215	I
2216	I
2217	M
2218	I
2219	P
2220	I
2221	I
2222	I
2223	E
2224	I
2225	I
2226	I
2227	I
2228	Exh
2229	I
2230	I
2231	I
2232	I
2233	I
2234	I
2235	I
2236	I
2237	I
2238	I
2239	I
2240	I
2241	I
2242	I
2243	E
2244	I
2245	I
2246	I
2247	I
2248	I
2249	E
2250	I
2251	I
2252	I
2253	I
2254	Exh
2255	I
2256	Exh
2257	I
2258	I
2259	I
2260	I
2261	I
2262	I
2263	I
2264	I
2265	I
2266	I
2267	I
2268	I
2269	I
2270	Exh
2271	P
2272	Exh
2273	I
2274	I
2275	I
2276	I
2277	E
2278	I
2279	I
2280	I
2281	I
2282	I
2283	I
2284	I
2285	I
2286	I
2287	I
2288	I
2289	I
2290	I
2291	I
2292	I
2293	I
2294	I
2295	I
2296	I
2297	I
2298	I
2299	I
2300	I
2301	I
2302	I
2303	I
2304	E
2305	I
2306	I
2307	I
2308	I
2309	I
2310	I
2311	I
2312	I
2313	I
2314	I
2315	I
2316	E
2317	Exh
2318	I
2319	I
2320	I
2321	I
2322	I
2323	I
2324	I
2325	I
2326	I
2327	I
2328	I
2329	Exh
2330	I
2331	I
2332	I
2333	Exh
2334	I
2335	I
2336	I
2337	Exh
2338	I
2339	I
2340	E
2341	I
2342	I
2343	I
2344	I
2345	I
2346	I
2347	I
2348	I
2349	M
2350	I
2351	I
2352	I
2353	I
2354	I
2355	I
2356	I
2357	I
2358	I
2359	I
2360	I
2361	I
2362	E
2363	I
2364	I
2365	I
2366	I
2367	I
2368	I
2369	I
2370	I
2371	I
2372	I
2373	I
2374	I
2375	E
2376	I
2377	I
2378	I
2379	I
2380	P
2381	I
2382	I
2383	I
2384	I
2385	I
2386	I
2387	I
2388	I
2389	M
2390	P
2391	Exh
2392	P
2393	P
2394	I
2395	M
2396	I
2397	P
2398	Exh
2399	I
2400	P
2401	I
2402	I
2403	Exh
2404	I
2405	P
2406	Exh
2407	I
2408	P
2409	I
2410	E
2411	Exh
2412	M
2413	I
2414	M
2415	Exh
2416	Exh
2417	I
2418	I
2419	I
2420	M
2421	I
2422	I
2423	I
2424	I
2425	E
2426	P
2427	Exh
2428	P
2429	I
2430	I
2431	E
2432	E
2433	I
2434	I
2435	E
2436	P
2437	I
2438	E
2439	I
2440	P
2441	P
2442	I
2443	P
2444	Exh
2445	Exh
2446	P
2447	I
2448	I
2449	I
2450	I
2451	E
2452	I
2453	I
2454	E
2455	Exh
2456	I
2457	Exh
2458	I
2459	E
2460	I
2461	M
2462	I
2463	I
2464	I
2465	I
2466	I
2467	P
2468	E
2469	I
2470	Exh
2471	I
2472	I
2473	I
2474	E
2475	M
2476	I
2477	P
2478	I
2479	Exh
2480	P
2481	I
2482	E
2483	Exh
2484	I
2485	Exh
2486	E
2487	I
2488	I
2489	I
2490	Exh
2491	I
2492	I
2493	Exh
2494	M
2495	I
2496	I
2497	I
2498	P
2499	I
2500	I
2501	I
2502	E
2503	M
2504	I
2505	M
2506	P
2507	P
2508	I
2509	I
2510	I
2511	P
2512	Exh
2513	I
2514	I
2515	I
2516	I
2517	I
2518	I
2519	I
2520	I
2521	I
2522	I
