	factor_1	factor_2	factor_3
ANO9	0.0	0.0	0.0
IRF7	0.0	0.0	0.0
SCT	0.0	0.0	0.0
KRTAP5-2	0.0	0.0	0.0
CTSD	0.0	0.0	0.0
ASCL2	0.0	0.0	0.0
CDKN1C	0.0	0.0	0.0
HBB	0.0	0.0	0.0
HBG1	0.0	0.0	0.0
HBG2	0.0	0.0	0.0
HPX	0.0	0.0	0.0
AC107884.1	0.0	0.0	0.0
DKK3	0.0	0.0	0.0
TPH1	0.0	0.0	0.0
NAV2-AS3	0.0	0.0	0.0
LINC00678	0.0	0.0	0.0
BDNF	0.0	0.0	0.0
PAX6	0.0	0.0	0.0
LMO2	0.0	0.0	0.0
AC090469.1	0.0	0.0	0.0
SLC1A2	0.0	0.0	0.0
LRRC4C	0.0	0.0	0.0
AC087521.2	0.0	0.0	0.0
SPI1	0.0	0.0	0.0
AGBL2	0.0	0.0	0.0
PRG2	0.0	0.0	0.0
AP003557.2	0.0	0.0	0.0
AP003557.1	0.0	0.0	0.0
MPEG1	0.0	0.0	0.0
MS4A6A	0.0	0.0	0.0
CYB561A3	0.0	0.0	0.0
FTH1	0.0	0.0	0.0
PLAAT5	0.0	0.0	0.0
TMEM262	0.0	0.0	0.0
LINC02736	0.0	0.0	0.0
AP000759.1	0.0	0.0	0.0
ZDHHC24	0.0	0.0	0.0
AC004923.4	0.0	0.0	0.0
ZNF705E	0.0	0.0	0.0
PHOX2A	0.0	0.0	0.0
AP003717.1	0.0	0.0	0.0
UCP3	0.0	0.0	0.0
WNT11	0.0	0.0	0.0
LRRC32	0.0	0.0	0.0
RSF1-IT1	0.0	0.0	0.0
SYTL2	0.0	0.0	0.0
GPR83	0.0	0.0	0.0
SESN3	0.0	0.0	0.0
MAML2	0.0	0.0	0.0
MMP7	0.0	0.0	0.0
MMP8	0.0	0.0	0.0
PDGFD	0.0	0.0	0.0
CWF19L2	0.0	0.0	0.0
NPAT	0.0	0.0	0.0
POU2AF1	0.0	0.0	0.0
AP000880.1	0.0	0.0	0.0
TMPRSS5	0.0	0.0	0.0
APOA1	0.0	0.0	0.0
DSCAML1	0.0	0.0	0.0
JAML	0.0	0.0	0.0
CD3D	0.0	0.0	0.0
BCL9L	0.0	0.0	0.0
AP003392.5	0.0	0.0	0.0
