	B	B	B	MP	MP	MP	NK	NK	NK
	p	logFC	p_adj	p	logFC	p_adj	p	logFC	p_adj
GPR183									
CCDC168									
IRS2									
LINC00346									
LINC00565									
PSPC1-AS2									
AL136962.1									
LINC00543									
ALOX5AP									
LINC00545									
NBEA									
COG6									
WBP4									
NAA16									
RGCC									
NRAD1									
MED4-AS1									
OLFM4									
PCDH9-AS4									
LINC00402									
LINC00377									
SLITRK5									
GPC5									
GPC6									
AL137246.1									
TNFSF13B									
MCF2L									
F7									
OR10G2									
SLC7A7									
PPP1R3E									
GZMH									
GZMB									
NOVA1									
AL163973.2									
AL161665.1									
AL136298.1									
EGLN3									
AL162311.3									
AL049828.2									
NID2									
AL133444.1									
AL355073.1									
AL161756.1									
AL122035.1									
RAB15									
AL139022.2									
AL135978.2									
AL133313.1									
AL359317.2									
AC004817.3									
AC006146.1									
LTBP2									
TGFB3									
AL137230.1									
GPR68									
TC2N									
FBLN5									
SERPINA1									
TCL1A									
LINC02312									
AL132796.2									
BCL11B									
AL157912.1									
DEGS2									
AL157871.6									
WARS									
ANKRD9									
CKB									
LINC02280									
AL512356.4									
AL928654.1									
IGHA2									
IGHE									
IGHG4									
IGHG2									
IGHGP									
IGHA1									
IGHG1									
IGHG3									
IGHD									
IGHM									
IGHJ6									
IGHJ5									
IGHJ4									
IGHD4-11									
IGHVIII-2-1									
IGHV3-7									
IGHV3-13									
IGHV3-15									
IGHV1-18									
IGHV3-21									
IGHVII-22-1									
IGHV3-23									
IGHV1-24									
IGHV4-28									
IGHV3-30									
IGHV4-34									
IGHV4-39									
IGHV1-46									
IGHV3-53									
IGHV1-69									
IGHV1-69D									
IGHV3-73									
IGHV3-74									
EDDM3A									
RNASE6									
RNASE2									
TRAV1-1									
TRAV1-2									
TRAV2									
TRAV4									
TRAV5									
TRAV6									
TRAV10									
TRAV12-1									
TRAV8-2									
TRAV12-2									
TRAV8-4									
TRAV13-2									
TRAV14DV4									
TRAV12-3									
TRAV17									
TRAV20									
TRAV22									
TRAV23DV6									
TRDV1									
TRAV24									
TRAV25									
TRAV27									
TRAV30									
TRAV34									
TRAV36DV7									
TRAV38-2DV8									
TRAV39									
TRAV41									
TRDV2									
TRDJ1									
TRDC									
TRAJ61									
TRAJ58									
TRAJ54									
TRAJ51									
TRAJ49									
